tick,total_energy,job_queue_len,stop_and_go,total_turning,orders_finished,phase
25.799999999999933,38825.82206128461,15,81,83,0,baseline
25.949999999999932,39235.04551418962,15,81,83,0,baseline
26.09999999999993,39644.55600004462,15,81,83,0,baseline
26.24999999999993,40053.35966239462,15,81,83,0,baseline
26.399999999999928,40476.96999770962,15,82,83,0,baseline
26.549999999999926,41669.97868951962,15,82,83,0,baseline
26.699999999999925,42094.530122344615,15,82,83,0,baseline
26.849999999999923,42519.37678572463,15,82,83,0,baseline
26.999999999999922,42965.71809879462,15,82,83,0,baseline
27.14999999999992,43413.52956240463,15,82,83,0,baseline
27.29999999999992,43863.494139034614,15,83,83,0,baseline
27.449999999999918,44271.19788651298,15,86,84,0,baseline
27.599999999999916,44877.57240597497,15,87,86,0,baseline
27.749999999999915,45867.77877265497,15,87,86,0,baseline
27.899999999999913,46277.646737924966,15,87,86,0,baseline
28.049999999999912,46661.84401601996,15,89,86,0,baseline
28.19999999999991,47234.01121048367,15,89,88,0,baseline
28.34999999999991,47719.710902916544,15,89,89,0,baseline
28.499999999999908,48131.77300815654,15,89,89,0,baseline
28.649999999999906,48534.05868704154,15,90,89,0,baseline
28.799999999999905,48944.52830825153,15,90,89,0,baseline
28.949999999999903,49358.40209976654,15,90,89,0,baseline
29.099999999999902,49786.79660562654,15,90,89,0,baseline
29.2499999999999,50210.69570216154,15,90,89,0,baseline
29.3999999999999,50648.86971723654,15,90,89,0,baseline
29.549999999999898,51103.22111801155,15,90,89,0,baseline
29.699999999999896,51576.863904486534,15,90,89,0,baseline
29.849999999999895,52059.25025801154,15,90,89,0,baseline
29.999999999999893,52530.92445153655,15,91,89,0,baseline
30.149999999999892,53124.19247523199,15,91,90,0,baseline
30.29999999999989,53648.26638271699,15,92,90,0,baseline
30.44999999999989,54203.844360150346,15,92,91,0,baseline
30.599999999999888,54748.504828215344,15,94,91,0,baseline
30.749999999999886,56097.83166250871,15,94,92,0,baseline
30.899999999999885,56665.64466607872,15,95,92,0,baseline
31.049999999999883,57311.728139534396,15,95,93,0,baseline
31.199999999999882,57878.454123554395,15,96,93,0,baseline
31.34999999999988,58531.342120782254,15,96,94,0,baseline
31.49999999999988,59077.72333075227,15,97,94,0,baseline
31.649999999999878,59707.11796152512,15,97,95,0,baseline
31.799999999999876,60238.45220672012,15,98,95,0,baseline
31.949999999999875,60817.77564245594,15,98,96,0,baseline
32.09999999999987,61335.808701340946,15,98,96,0,baseline
32.24999999999987,61849.943950855944,15,98,96,0,baseline
32.39999999999987,62370.10273513095,15,98,96,0,baseline
32.54999999999987,63071.506221831834,15,100,97,0,baseline
32.69999999999987,63615.01713247156,15,100,98,0,baseline
32.849999999999866,64078.44137465657,15,100,98,0,baseline
32.999999999999865,64546.11321404657,15,100,98,0,baseline
33.149999999999864,65024.041378331574,15,100,98,0,baseline
33.29999999999986,65480.950206101574,15,101,98,0,baseline
33.44999999999986,66061.01699503495,15,101,99,0,baseline
33.59999999999986,66521.97221668495,15,102,99,0,baseline
33.74999999999986,67082.7162357139,15,102,100,0,baseline
33.89999999999986,67564.40761450391,15,102,100,0,baseline
34.049999999999855,68050.28666935391,15,102,100,0,baseline
34.199999999999854,68557.75181650392,15,102,100,0,baseline
34.34999999999985,69055.8507289489,15,103,100,0,baseline
34.49999999999985,69653.95578613367,15,103,101,0,baseline
34.64999999999985,70174.87890170867,15,103,101,0,baseline
34.79999999999985,70705.21348283868,15,103,101,0,baseline
34.94999999999985,71247.99770362367,15,103,101,0,baseline
35.099999999999845,71800.27821532368,15,103,101,0,baseline
35.249999999999844,72348.06211102368,15,103,101,0,baseline
35.39999999999984,72891.34939072367,15,103,101,0,baseline
35.54999999999984,73426.82130892367,15,105,101,0,baseline
35.69999999999984,74066.37552164246,15,106,103,0,baseline
35.84999999999984,74698.92448910943,15,106,104,0,baseline
35.99999999999984,75252.61562723941,15,106,104,0,baseline
36.149999999999835,75811.63239823442,15,106,104,0,baseline
36.299999999999834,76380.05060770441,15,106,104,0,baseline
36.44999999999983,76957.98961526943,15,107,104,0,baseline
36.59999999999983,77616.2628806501,15,108,105,0,baseline
36.74999999999983,78225.30180767346,15,108,106,0,baseline
36.89999999999983,78817.62613286347,15,108,106,0,baseline
37.04999999999983,79410.36299298845,15,108,106,0,baseline
37.199999999999825,79972.52600166846,15,109,106,0,baseline
37.349999999999824,80608.64050331901,15,109,107,0,baseline
37.49999999999982,81176.354481689,15,109,107,0,baseline
37.64999999999982,81737.95843394901,15,109,107,0,baseline
37.79999999999982,82297.37909852901,15,109,107,0,baseline
37.94999999999982,82849.81908595402,15,109,107,0,baseline
38.09999999999982,83400.93436999401,15,110,107,0,baseline
38.249999999999815,83928.604340249,15,111,107,0,baseline
38.399999999999814,84505.28074522188,15,113,108,0,baseline
