item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,item_class_old
14620111001,淬釀和風醬油露北海昆布300ml,24.0,19.0,26.0,11856.0,8.99,12.0,988.0,PCS,19.0,0.8995183413609773,1.316,0.749,25,"[1, 2, 4]","[15, 3, 1]",3,3,3
14620112001,味全水餃醬汁(香辣),27.0,20.0,17.0,9180.0,5.26,12.0,765.0,PCS,8.0,0.9620439659339012,1.5,0.756,12,"[1, 2, 3]","[5, 2, 1]",3,3,3
14620113001,大同黑豆醬油400ml,25.0,20.0,29.0,14500.0,10.1,12.0,1208.3,PCS,7.0,0.967737204379927,4.125,4.39,33,"[1, 2, 4, 10, 12]","[3, 2, 1, 1, 1]",3,10,3
14620114001,龜甲萬甘醇醬油-1000ml,33.0,25.0,28.0,23100.0,14.98,12.0,1925.0,PCS,42.0,0.8109264845585907,1.721,2.261,74,"[1, 2, 5, 10, 12]","[36, 3, 2, 1, 1]",3,5,3
14620115001,家樂福古釀黑豆醬油,29.0,21.0,29.0,17661.0,10.1,12.0,1471.8,PCS,2.0,0.9960033999433344,2.5,2.121,5,"[1, 4]","[1, 1]",3,5,3
14620119001,萬家香薄鹽醬油 300ml,26.0,20.0,22.0,11440.0,7.07,12.0,953.3,PCS,24.0,0.8739354344094266,1.958,2.422,47,"[1, 2, 6, 8, 10]","[19, 2, 1, 1, 1]",3,5,3
14620124001,味王婦友純釀造醬油780ml,32.0,24.0,28.0,21504.0,11.89,12.0,1792.0,PCS,1.0,0.9994433426109564,5.0,0.0,5,[5],[1],3,5,3
14620133001,大同淬釀人級蔭油膏420g,25.0,20.0,28.0,14000.0,10.2,12.0,1166.7,PCS,16.0,0.914561423976267,2.588,2.852,44,"[1, 2, 3, 5, 6, 12]","[9, 3, 2, 1, 1, 1]",0,6,0
14620138001,萬家香大吟釀甘露醬油1500ml,32.0,23.0,17.0,12512.0,11.73,6.0,2085.3,PCS,5.0,0.979897001716638,1.0,0.0,5,[1],[5],3,1,3
14620149001,萬家香大吟釀薄鹽醬油450ml,33.0,25.0,19.0,15675.0,10.7,12.0,1306.3,PCS,10.0,0.9498375027082882,1.4,0.699,14,"[1, 2, 3]","[7, 2, 1]",3,3,3
14620158001,龜甲萬源釀醬油500ml,32.0,25.0,26.0,20800.0,10.9,12.0,1733.3,PCS,20.0,0.8941584306928217,1.65,2.455,33,"[1, 2, 12]","[17, 2, 1]",3,5,3
14620163001,李錦記甘甜滷醬油 410ml,28.0,22.0,28.0,17248.0,10.302,12.0,1437.3,PCS,14.0,0.9256812386460226,3.643,3.835,51,"[1, 2, 3, 5, 9, 10, 12]","[6, 3, 1, 1, 1, 1, 1]",0,8,0
